tweet_id,text,label
6.25778285025346e+17,American Voices: Boy Scouts To Lift Ban On Gay Leaderspic.twitter.com/n5DcNxbEqx,homophobia
5.55102898556637e+17,Homosexuality is a disease!pic.twitter.com/Re2lIOmNhp,homophobia
5.35859739163243e+17,"Gay Man Unaware He Focus Of Thousands Of Prayershttp://www.theonion.com/articles/gay-man-unaware-he-focus-of-thousands-of-prayers,37504/ …",homophobia
4.48730038905479e+17,"Stop smearing feces on the wall, homosexuals! https://www.youtube.com/watch?v=0n8p7AMlZ7E …",homophobia
3.6012626215451e+17,A Straight Man Asks How to Ditch a Gay Friend When Travelinghttp://www.nytimes.com/2013/07/23/booming/a-straight-man-asks-how-to-ditch-a-gay-friend-when-traveling.html?_r=0 …,homophobia
3.5476501039376e+17,STUDY: Homophobia Driven By Fear of Unwanted Sexual Advanceshttp://www.advocate.com/latest-news/2013/07/09/study-homophobia-driven-fear-unwanted-sexual-advances …,homophobia
3.54014378036703e+17,"If my son were gay, I'd slap him...http://betweenletters.quora.com/If-My-Son-Were-Gay-Id-Slap-Him …",homophobia
3.47826270664532e+17,Congressman: Gays Should Hide Sexual Orientation At Workhttp://www.towleroad.com/2013/06/congressman-gays-should-hide-sexual-orientation-at-work.html …,homophobia
3.44553378694693e+17,Pat Robertson: Gays will ‘destroy’ Boy Scouts to ‘accommodate kids who want sex with each other’http://www.lgbtqnation.com/2013/06/robertson-gays-will-destroy-boy-scouts-to-accommodate-kids-who-want-sex-with-each-other/ …,homophobia
3.41447256538505e+17,Boy Scouts wear uniforms in Utah Pride Parade despite being told it was not allowed by local Scout leadershiphttp://fox13now.com/2013/06/02/boy-scouts-in-uniform-march-in-utah-pride-parade/ …,homophobia
3.26941597545673e+17,Family Guy on the Westboro Baptist Church:pic.twitter.com/z9gDg1J1Bp,homophobia
3.17686313337893e+17,Talk show viewer calls for gays to be beheaded http://www.youtube.com/watch?v=SOx5qIaxA8M … via @huffpostgay,homophobia
3.16964775408058e+17,"Supreme Court Justices Brought To Tears By Heartfelt Testimony Of Bigot Who Hates Gay People http://www.theonion.com/articles/supreme-court-justices-brought-to-tears-by-heartfe,31826/ … #DOMA",homophobia
3.16590055181386e+17,Starbucks CEO to anti-gay shareholders: 'You can sell your shares'http://www.theglobeandmail.com/globe-investor/investor-community/trading-shots/starbucks-ceo-to-anti-gay-shareholders-you-can-sell-your-shares/article10300416/ …,homophobia
3.1636448604076e+17,"Gays rape children, Hillary Clinton is a lesbian for backing gay marriage, says radio hostess http://www.gaystarnews.com/article/gays-rape-children-hillary-clinton-lesbian-backing-gay-marriage-says-radio-hostess260313 …",homophobia
3.11924627431633e+17, gay marriage is the work of the devil http://blog.equalitopia.com/post/807244432/gay-marriage-is-the-work-of-the-devil …,homophobia
3.11199579280384e+17,The Catholic Church now owns a share of Europe's largest gay sauna. http://thenewcivilrightsmovement.com/vatican-pays-30-million-for-building-featuring-europes-largest-gay-sauna/news/2013/03/11/62351 …,homophobia
3.08842706556318e+17,The Ultimate Anti-Gay Marriage Ad http://www.youtube.com/watch?v=6jrngYNGNeE …,homophobia
3.080308876841e+17,Christian girl raps about homosexuals in the forest http://www.youtube.com/watch?v=h-p98umv1gg …,homophobia
3.07576119509533e+17,"""Why is it that, as a culture, we are more comfortable seeing two men holding guns than holding hands?"" —Ernest J. Gaines",homophobia
3.05481847570321e+17,Male priests accuse anti-gay Cardinal Keith O’Brien of inappropriate acts and call on him to resignhttp://www.pinknews.co.uk/2013/02/23/breaking-news-male-priests-accuse-anti-gay-cardinal-keith-obrien-of-inappropriate-acts/ …,homophobia
3.04737006343315e+17,Gays Should Have Their Own Restrooms http://storify.com/homophobes/25-tweets-claiming-gays-should-have-their-own-rest … #StopHomophobia,homophobia
3.01066283947028e+17,"""...the inclination [of homosexuality] itself must be seen as an objective disorder."" —Pope Benedict XVI",homophobia
2.9938861829904e+17,"Real lesson of 9/11? Ban gay marriage, Christian author sayshttp://www.gaystarnews.com/article/real-lesson-911-ban-gay-marriage-christian-author-says060213 …",homophobia
2.9861318749705e+17,"""Sweet Cakes"" is an Oregon bakery that refuses to make cakes for same-sex weddings. Internet, you know what to do: http://www.yelp.com/biz/sweet-cakes-by-melissa-gresham …",homophobia
2.97889365663834e+17,Bakery says no to same-sex wedding cake http://www.koinlocal6.com/news/local/story/OR-No-Gay-Cake/dfAVgP8emUyaWXNE-DDEAA.cspx … (via @AJH1993),homophobia
2.97402886059618e+17,What are the best quotes about #homophobia? Tweet your favorite quotes and be sure to mention @homophobes.,homophobia
2.94951374515495e+17,"""The only thing wrong with being gay is how some people treat you when they find out.""
―Robin Reardon",homophobia
2.93584450103701e+17,Should gay marriage be taught in schools? This homophobe tries to explain why it shouldn't: http://www.youtube.com/watch?v=jVoERKjk58c …,homophobia
2.91995066862559e+17,RIP Dear Abby. RT @TUSK81: https://twitter.com/TUSK81/status/291981977391874048/photo/1pic.twitter.com/80F8xkKi ,homophobia
2.88515889295393e+17,Article by @MSignorile: What My Partner and I Did When an Anti-Gay Bigot Called Us 'Disgusting'http://www.huffingtonpost.com/michelangelo-signorile/what-my-partner-and-i-did_b_2424253.html …,homophobia
2.86194379541082e+17,The Worst Homophobic Tweets of 2012 http://storify.com/homophobes/homophobia-in-2012-the-year-as-told-through-homoph … #StopHomophobia,homophobia
2.85949642439524e+17,Homophobia in 2012: The Year As Told Through Tweets http://storify.com/homophobes/homophobia-in-2012-the-year-as-told-through-homoph … #HappyNewYear,homophobia
